state,city,avg_PM25_lockdown,avg_PM25_pre_lockdown,percent_change
Karnataka,Chamarajanagar,29.60956108894647,18.123982805198583,-63.37226429310796
Kerala,Eloor,15.715537930272118,10.35949176752804,-51.70182363127769
Maharashtra,Navi Mumbai,56.20198206134835,38.69791303502744,-45.23259176916619
Maharashtra,Kalyan,51.717276407323794,36.6278197142429,-41.196710071206596
Maharashtra,Mumbai,46.38848270210122,34.911578593134,-32.874205554326785
Haryana,Fatehabad,72.43729655785029,56.682338968169304,-27.795179021332174
Punjab,Bathinda,41.37597874603613,33.29851162409369,-24.257742247247634
Madhya Pradesh,Satna,19.858334287408624,16.512033749743146,-20.265829081881154
West Bengal,Siliguri,61.69450787850071,51.711109542546126,-19.30609964526208
Maharashtra,Chandrapur,39.759252965341595,33.8474313871736,-17.466086305173114
Assam,Guwahati,64.48258685159406,55.75277256666265,-15.658080994076704
Gujarat,Vatva,59.45763329388638,52.70353974131973,-12.815256025908678
Gujarat,Ankleshwar,53.46866244620606,47.673747375483345,-12.155358849979567
Andhra Pradesh,Tirupati,26.551971310221006,23.765272777975426,-11.725926978747603
Haryana,Bahadurgarh,81.55884625914929,75.86169714988361,-7.509915178946694
Madhya Pradesh,Ujjain,46.874089045082265,43.71650533202985,-7.222863971102798
Uttar Pradesh,Moradabad,106.22187496190173,99.92713900880166,-6.299325704247
Punjab,Khanna,41.96755390628428,39.52989751664194,-6.16661449379194
Karnataka,Chikkaballapur,30.309386972793757,28.901669221839455,-4.870714352687158
Uttar Pradesh,Agra,75.14171813909168,73.08203518897506,-2.818316354752176
Haryana,Dharuhera,77.76187870904627,76.14474618042637,-2.123761138802774
Haryana,Panchkula,45.382133089093884,44.89418170048773,-1.086892265598094
Rajasthan,Jaipur,49.70384633354927,49.472851162843114,-0.4669129942517825
Karnataka,Kalaburagi,46.95506833173242,47.09822196224023,0.3039469953294221
Maharashtra,Pune,47.748561488628944,47.93964462095768,0.39859104888983676
Haryana,Kurukshetra,65.6553585263022,65.96289501496416,0.46622648777346687
Uttar Pradesh,Bulandshahr,94.24235673550731,95.41300401132771,1.2269263377153676
Rajasthan,Bhiwadi,103.16166718966288,104.4784563420077,1.2603451452559244
Haryana,Jind,80.68460402614961,81.74913872399748,1.3021968359103544
Tamil Nadu,Coimbatore,28.967818623197346,29.442204072135663,1.6112429890643942
Uttar Pradesh,Baghpat,99.89400042957723,101.59750339647543,1.6767173502782118
Karnataka,Ramanagara,23.39983305887446,23.884850957964616,2.0306507247784293
Madhya Pradesh,Pithampur,41.11364570785793,42.00501101773409,2.122045175752576
Haryana,Rohtak,80.52166610040507,82.51852652860703,2.4198934617545502
Punjab,Mandi Gobindgarh,61.76604263661363,63.324836206190994,2.4615832633215153
Punjab,Patiala,42.8212991927011,44.019739702339834,2.7225070337592983
Maharashtra,Solapur,33.24346656186922,34.68056211331645,4.14380697392278
Madhya Pradesh,Singrauli,78.34297496748627,81.91816526369117,4.36434371387165
Rajasthan,Udaipur,44.27374689873626,46.30453479644062,4.385721412885162
Punjab,Jalandhar,49.657246819143445,52.472999181511156,5.366097624089763
Gujarat,Gandhinagar,33.91791967038754,35.856500990281624,5.4064988673030525
Madhya Pradesh,Dewas,39.62800588083287,42.31149158933233,6.342214863387186
Rajasthan,Pali,52.75575230022971,56.39291768054588,6.449684694308518
Uttar Pradesh,Ghaziabad,109.44865171240976,117.44778857037784,6.810802447059092
Haryana,Faridabad,87.86820515766067,94.72742230345057,7.241004747091111
Rajasthan,Kota,48.8071863680405,53.053617637223546,8.004037157691696
Maharashtra,Nashik,33.96309473991144,36.960282866266915,8.109213171339018
Haryana,Ambala,54.85910716282944,59.799913090531646,8.262229278196902
Madhya Pradesh,Mandideep,37.945388081723365,41.375852428616184,8.290981685057094
Madhya Pradesh,Ratlam,46.208175104554414,50.62168475346592,8.7186147012014
Haryana,Hisar,83.00510923871443,91.33461591539672,9.11976975345024
Kerala,Thiruvananthapuram,24.03151801652202,26.562089000824756,9.527002880775528
Haryana,Yamuna Nagar,75.23232455403314,83.15519876475479,9.527815853264178
Telangana,Hyderabad,37.81236378570562,41.84935970805057,9.646493878300252
Madhya Pradesh,Maihar,24.882215961935042,27.640145286747806,9.977984182793229
Odisha,Brajrajnagar,52.59482814989578,58.47170241089988,10.050800675693294
Punjab,Amritsar,46.109713243099385,51.42314983578851,10.332771542888214
Andhra Pradesh,Rajamahendravaram,30.21149864621409,33.730374621307554,10.432365529882324
West Bengal,Asansol,55.03647083499939,61.947250595471615,11.155910381884498
Rajasthan,Alwar,41.17778647123002,46.39439968093422,11.244058001785001
Gujarat,Vapi,51.0519884158863,57.844447206390136,11.742628927316408
Haryana,Gurugram,82.96893395745442,94.79327459394963,12.473818092206638
Haryana,Kaithal,51.38333224489255,58.75713613138708,12.549631197146732
Punjab,Ludhiana,46.62135862062243,53.49304024140946,12.845935825998534
Andhra Pradesh,Visakhapatnam,41.23959050662719,47.47203057572124,13.128657008157408
Uttar Pradesh,Kanpur,83.82452372757812,96.5493721702124,13.179628366926
Uttar Pradesh,Greater Noida,90.88458822731548,104.87309476123973,13.338508380792339
Delhi,Delhi,93.98723412469977,108.57856418388242,13.438499734138695
Haryana,Manesar,76.52408797121063,88.83063410858155,13.853943812140404
Uttar Pradesh,Lucknow,90.29315312164279,105.2506085703226,14.211276924528251
Rajasthan,Ajmer,41.23672484803604,48.3734126681081,14.753327140752212
Uttar Pradesh,Muzaffarnagar,75.29979419172325,89.35891458082337,15.733315982015336
Uttar Pradesh,Noida,94.36535606544022,112.76536198549647,16.31707254433573
Karnataka,Hubballi,27.723583131506906,33.21756988759716,16.539400006324986
Karnataka,Yadgir,31.21415073821466,37.420095202812384,16.58452345180379
Rajasthan,Jodhpur,70.18870319177525,84.45349303709685,16.89070437744438
Punjab,Rupnagar,44.18002019802393,53.5724463800934,17.532195777341865
Karnataka,Bengaluru,29.52403250365328,36.327995787298846,18.729255870549284
West Bengal,Kolkata,49.112960010172934,60.594678322578915,18.948393869313833
Haryana,Ballabgarh,72.00192348091079,90.25602662173819,20.22480251355414
Madhya Pradesh,Damoh,34.604010254055645,44.10663085053649,21.544653067431607
Odisha,Talcher,39.69426230318395,50.68121903188847,21.678556551277033
Karnataka,Mysuru,17.763670427611764,22.76023510781043,21.953045109292564
Haryana,Narnaul,54.68282976141631,70.39859013327357,22.32397032682801
Haryana,Panipat,58.32542491752499,75.67068413557074,22.92203303854129
West Bengal,Howrah,52.996718445673814,71.20144933926126,25.56792180850897
Maharashtra,Aurangabad,32.21158827248392,43.31244039040658,25.629708272871692
Gujarat,Ahmedabad,46.36159747345621,62.42907108856616,25.737165930781725
Haryana,Sonipat,51.1120169168839,68.95353118614179,25.874692655107495
Maharashtra,Nagpur,30.87877568250982,42.77222922425815,27.80648508963613
Jharkhand,Jorapokhar,49.28350817331464,68.3120945821536,27.855369572886946
Andhra Pradesh,Amaravati,27.947821836098257,38.89518917044633,28.14581331993159
Haryana,Karnal,57.449663119464184,80.13084488085683,28.305182349089584
Madhya Pradesh,Indore,41.03076421408614,59.28201536257327,30.7871637576103
Tamil Nadu,Chennai,29.38303458524041,42.76313030074529,31.288859401557158
Bihar,Patna,72.81856639075312,106.23841126950671,31.45740272223554
Bihar,Muzaffarpur,73.73889324632896,108.11967875497787,31.798823215672943
Uttar Pradesh,Varanasi,63.88564212583401,96.27811167033956,33.644687232149685
Haryana,Mandikhera,50.261821776967004,76.17406624166145,34.017147492806956
Uttar Pradesh,Meerut,87.63424828583548,137.810398957341,36.40955330739407
Madhya Pradesh,Jabalpur,46.23658999517289,74.50778707564783,37.94394947171248
Haryana,Sirsa,51.593279032267,84.7665430870383,39.13485538829747
Madhya Pradesh,Katni,55.17459159696807,91.64654759492014,39.79632288949821
Madhya Pradesh,Bhopal,39.938039474949896,67.40067755518702,40.745344225584354
Bihar,Gaya,46.19132216806819,83.8135016561047,44.8879700103739
Chandigarh,Chandigarh,34.845667453664646,64.3459614662614,45.84638000640442
Andhra Pradesh,Vijayawada,12.806666666666668,24.267688933329126,47.227497839408784
Meghalaya,Shillong,16.736123989161396,33.56035800980872,50.131270994576674
Haryana,Palwal,37.403663825711504,91.50294003199674,59.122992318463
Uttar Pradesh,Hapur,39.04597540131671,95.98650212680785,59.32138942855419
Haryana,Bhiwani,29.436789179024114,76.27069315501006,61.40484901691171
Karnataka,Kolar,12.415,40.01443576552142,68.97369721080155
Andhra Pradesh,Anantapur,,,
Andhra Pradesh,Chittoor,,,
Andhra Pradesh,Kadapa,,,
Arunachal Pradesh,Naharlagun,16.350526527400373,,
Assam,Byrnihat,,,
Assam,Nagaon,,,
Assam,Nalbari,,,
Assam,Silchar,,,
Assam,Sivasagar,,,
Bihar,Araria,,,
Bihar,Arrah,,,
Bihar,Aurangabad,,,
Bihar,Begusarai,,,
Bihar,Bettiah,,,
Bihar,Bhagalpur,,,
Bihar,Bihar Sharif,,,
Bihar,Chhapra,,,
Bihar,Darbhanga,,,
Bihar,Hajipur,46.49667734493114,,
Bihar,Katihar,,,
Bihar,Kishanganj,,,
Bihar,Manguraha,,,
Bihar,Motihari,,,
Bihar,Munger,,,
Bihar,Purnia,,,
Bihar,Rajgir,,,
Bihar,Saharsa,,,
Bihar,Samastipur,,,
Bihar,Sasaram,,,
Bihar,Siwan,,,
Chhattisgarh,Bhilai,,,
Chhattisgarh,Bilaspur,,,
Chhattisgarh,Chhal,,,
Chhattisgarh,Korba,,,
Chhattisgarh,Kunjemura,,,
Chhattisgarh,Milupara,,,
Chhattisgarh,Raipur,,,
Chhattisgarh,Tumidih,,,
Gujarat,Nandesari,46.444163902289375,,
Gujarat,Surat,,,
Haryana,Charkhi Dadri,82.82303292921993,,
Himachal Pradesh,Baddi,,,
Jammu and Kashmir,Srinagar,40.01424348590733,,
Jharkhand,Dhanbad,,,
Jharkhand,Pathardih,,,
Karnataka,Bagalkot,26.599446887609112,,
Karnataka,Belgaum,,,
Karnataka,Bidar,40.19358109542908,,
Karnataka,Chikkamagaluru,23.87467607957162,,
Karnataka,Davanagere,10.745410958233773,,
Karnataka,Dharwad,,,
Karnataka,Gadag,29.744060343960722,,
Karnataka,Hassan,26.568998917221737,,
Karnataka,Haveri,,,
Karnataka,Karwar,,,
Karnataka,Koppal,18.496541005100994,,
Karnataka,Madikeri,21.671781864933156,,
Karnataka,Mangalore,34.32543471880589,,
Karnataka,Raichur,41.225218824108204,,
Karnataka,Shivamogga,27.489218379763706,,
Karnataka,Tumakuru,,,
Karnataka,Udupi,,,
Karnataka,Vijayapura,27.224994085316155,,
Kerala,Ernakulam,23.980392265433366,,
Kerala,Kannur,32.00750874764228,,
Kerala,Kochi,29.093524361637918,,
Kerala,Kollam,41.77446593644486,,
Kerala,Kozhikode,20.00272805816141,,
Kerala,Thrissur,32.958525728619456,,
Madhya Pradesh,Gwalior,58.740224364635935,,
Madhya Pradesh,Sagar,35.808527299173356,,
Maharashtra,Ahmednagar,,,
Maharashtra,Akola,,,
Maharashtra,Amravati,,,
Maharashtra,Badlapur,,,
Maharashtra,Belapur,,,
Maharashtra,Bhiwandi,,,
Maharashtra,Boisar,,,
Maharashtra,Dhule,,,
Maharashtra,Jalgaon,,,
Maharashtra,Jalna,,,
Maharashtra,Kolhapur,,,
Maharashtra,Latur,,,
Maharashtra,Mahad,,,
Maharashtra,Malegaon,,,
Maharashtra,Mira-Bhayandar,,,
Maharashtra,Nanded,,,
Maharashtra,Parbhani,,,
Maharashtra,Pimpri-Chinchwad,,,
Maharashtra,Sangli,,,
Maharashtra,Thane,,78.73640057775009,
Maharashtra,Ulhasnagar,,,
Maharashtra,Virar,,,
Manipur,Imphal,,,
Mizoram,Aizawl,19.37002954604298,,
Nagaland,Kohima,40.03903082152108,,
Odisha,Angul,,,
Odisha,Balasore,,,
Odisha,Barbil,,,
Odisha,Baripada,,,
Odisha,Bhubaneswar,,,
Odisha,Bileipada,,,
Odisha,Byasanagar,,,
Odisha,Cuttack,,,
Odisha,Keonjhar,,,
Odisha,Nayagarh,,,
Odisha,Rairangpur,,,
Odisha,Rourkela,,,
Odisha,Suakati,,,
Odisha,Tensa,,,
Puducherry,Puducherry,21.24051033398821,,
Rajasthan,Banswara,,,
Rajasthan,Baran,,,
Rajasthan,Barmer,,,
Rajasthan,Bharatpur,,,
Rajasthan,Bhilwara,,,
Rajasthan,Bikaner,,,
Rajasthan,Bundi,,,
Rajasthan,Chittorgarh,,,
Rajasthan,Churu,,,
Rajasthan,Dausa,,,
Rajasthan,Dholpur,,,
Rajasthan,Dungarpur,,,
Rajasthan,Hanumangarh,,,
Rajasthan,Jaisalmer,,,
Rajasthan,Jalore,,,
Rajasthan,Jhalawar,,,
Rajasthan,Jhunjhunu,,,
Rajasthan,Karauli,,,
Rajasthan,Nagaur,,,
Rajasthan,Pratapgarh,,,
Rajasthan,Rajsamand,,,
Rajasthan,Sawai Madhopur,,,
Rajasthan,Sikar,,,
Rajasthan,Sirohi,,,
Rajasthan,Sri Ganganagar,,,
Rajasthan,Tonk,,,
Sikkim,Gangtok,,,
Tamil Nadu,Ariyalur,,,
Tamil Nadu,Chengalpattu,,,
Tamil Nadu,Cuddalore,,,
Tamil Nadu,Dindigul,,,
Tamil Nadu,Gummidipoondi,49.04973122269945,,
Tamil Nadu,Hosur,,,
Tamil Nadu,Kanchipuram,,,
Tamil Nadu,Ooty,,,
Tamil Nadu,Palkalaiperur,,,
Tamil Nadu,Ramanathapuram,,,
Tamil Nadu,Salem,,,
Tamil Nadu,Thoothukudi,,,
Tamil Nadu,Tiruchirappalli,,,
Tamil Nadu,Tirupur,,,
Tamil Nadu,Vellore,,,
Tamil Nadu,Virudhunagar,,,
Tripura,Agartala,60.982262903732206,,
Uttar Pradesh,Bareilly,,,
Uttar Pradesh,Firozabad,,,
Uttar Pradesh,Gorakhpur,30.954000000000004,,
Uttar Pradesh,Jhansi,,,
Uttar Pradesh,Khurja,,,
Uttar Pradesh,Prayagraj,30.1553341832646,,
Uttar Pradesh,Vrindavan,,,
Uttarakhand,Dehradun,,,
Uttarakhand,Kashipur,,,
Uttarakhand,Rishikesh,,,
West Bengal,Barrackpore,,,
West Bengal,Durgapur,94.83493312783536,,
West Bengal,Haldia,,,
